Change Number,Opened At,Planned Start,Planned End,Actual Start,Actual End,Change Type,Risk,Priority,State,Category,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Conflict Status,Approval Status,On Hold Reason,Month Year,Quarter
CHG0000012,2022-03-08 23:28:12,2022-03-30 23:28:12,2022-03-31 01:28:12,2022-03-30 23:40:12,2022-03-31 07:40:12,Standard,Medium,2 - High,Implement,Application,L2 Support,Priya Menon,Bangalore,IT,Oracle DB,Middleware upgrade,No Conflict,Approved,Awaiting approval,Mar-2022,Q1-2022
CHG0000013,2022-06-09 20:39:16,2022-06-19 20:39:16,2022-06-20 02:39:16,,,Standard,Low,1 - Critical,Review,Software,DB Admins,Kavya Reddy,Mumbai,IT,Load Balancer,OS patch deployment,No Conflict,Approved,,Jun-2022,Q2-2022
CHG0000014,2022-07-28 17:02:46,2022-08-20 17:02:46,2022-08-20 18:02:46,2022-08-20 17:12:46,2022-08-20 21:12:46,Emergency,Low,1 - Critical,Closed,Software,L2 Support,Priya Menon,Chennai,Sales,ERP Server,Storage expansion,No Conflict,Approved,,Jul-2022,Q3-2022
CHG0000015,2022-02-04 06:42:22,2022-03-03 06:42:22,2022-03-03 12:42:22,,,Standard,Medium,1 - Critical,Review,Email/Collaboration,Infra Team,Vikram Joshi,Kolkata,IT,CRM Application,Backup policy change,No Conflict,Approved,Vendor dependency,Feb-2022,Q1-2022
CHG0000016,2022-11-22 04:50:30,2022-12-03 04:50:30,2022-12-03 08:50:30,2022-12-03 04:34:30,2022-12-03 06:34:30,Standard,High,3 - Medium,Implement,Network,Security Ops,Kavya Reddy,Mumbai,Finance,Load Balancer,OS patch deployment,No Conflict,Approved,,Nov-2022,Q4-2022
CHG0000017,2022-04-11 21:05:46,2022-04-28 21:05:46,2022-04-29 02:05:46,2022-04-28 21:09:46,2022-04-29 02:09:46,Normal,Low,1 - Critical,Closed,Software,Network Ops,Amit Desai,Chennai,Marketing,SAP Production,Storage expansion,No Conflict,Pending,Resource unavailable,Apr-2022,Q2-2022
CHG0000018,2022-04-08 04:53:05,2022-05-05 04:53:05,2022-05-05 10:53:05,2022-05-05 04:33:05,2022-05-05 07:33:05,Normal,Medium,2 - High,Closed,Database,L1 Support,Pooja Iyer,Pune,Sales,Load Balancer,Load balancer config,No Conflict,Approved,,Apr-2022,Q2-2022
CHG0000019,2022-03-09 04:55:36,2022-04-06 04:55:36,2022-04-06 12:55:36,,,Normal,Low,3 - Medium,Authorize,Access Management,L1 Support,Pooja Iyer,Kolkata,Operations,Email Gateway,Network upgrade,No Conflict,Approved,Vendor dependency,Mar-2022,Q1-2022
CHG0000020,2022-05-12 14:01:20,2022-05-19 14:01:20,2022-05-19 19:01:20,2022-05-19 13:39:20,2022-05-19 15:39:20,Emergency,Low,4 - Low,Implement,Application,DB Admins,Amit Desai,Pune,Sales,CRM Application,Load balancer config,No Conflict,Approved,Vendor dependency,May-2022,Q2-2022
CHG0000021,2022-06-19 08:07:38,2022-07-01 08:07:38,2022-07-01 13:07:38,,,Standard,Medium,4 - Low,Review,Access Management,Security Ops,Amit Desai,Delhi NCR,Operations,Active Directory,DB migration,No Conflict,Approved,Awaiting approval,Jun-2022,Q2-2022
CHG0000022,2022-06-17 16:46:20,2022-07-08 16:46:20,2022-07-08 17:46:20,2022-07-08 16:16:20,2022-07-08 20:16:20,Standard,Medium,4 - Low,Implement,Security,App Support,Amit Desai,Bangalore,HR,Firewall-01,OS patch deployment,No Conflict,Rejected,Resource unavailable,Jun-2022,Q2-2022
CHG0000023,2022-03-03 09:46:15,2022-03-30 09:46:15,2022-03-30 12:46:15,,,Emergency,Low,2 - High,Authorize,Security,Network Ops,Vikram Joshi,Kolkata,HR,Email Gateway,DB migration,No Conflict,Approved,Vendor dependency,Mar-2022,Q1-2022
CHG0000024,2022-01-01 18:39:31,2022-01-12 18:39:31,2022-01-12 19:39:31,2022-01-12 18:35:31,2022-01-13 00:35:31,Normal,Medium,4 - Low,Closed,Email/Collaboration,App Support,Amit Desai,Bangalore,Legal,Core Switch,SSL certificate renewal,No Conflict,Pending,Testing required,Jan-2022,Q1-2022
CHG0000025,2022-08-05 23:19:22,2022-08-29 23:19:22,2022-08-30 02:19:22,,,Normal,High,1 - Critical,Review,Hardware,DB Admins,Rohan Verma,Pune,Sales,SAP Production,Firewall rule update,No Conflict,Pending,Testing required,Aug-2022,Q3-2022
CHG0000026,2022-12-15 10:36:44,2022-12-31 10:36:44,2022-12-31 16:36:44,2022-12-31 10:45:44,2022-12-31 12:45:44,Emergency,Medium,2 - High,Implement,Hardware,App Support,Deepak Nair,Hyderabad,Legal,Firewall-01,Backup policy change,No Conflict,Approved,Resource unavailable,Dec-2022,Q4-2022
CHG0000027,2022-12-19 18:04:36,2023-01-16 18:04:36,2023-01-17 02:04:36,2023-01-16 18:03:36,2023-01-16 20:03:36,Emergency,Medium,2 - High,Closed,Software,L1 Support,Kavya Reddy,Pune,Finance,Oracle DB,Load balancer config,No Conflict,Approved,Vendor dependency,Dec-2022,Q4-2022
CHG0000028,2022-05-10 17:23:18,2022-05-29 17:23:18,2022-05-29 19:23:18,,,Standard,Medium,2 - High,Authorize,Application,Infra Team,Sneha Patil,Hyderabad,IT,VPN Gateway,SSL certificate renewal,No Conflict,Approved,Resource unavailable,May-2022,Q2-2022
CHG0000029,2022-01-27 04:43:10,2022-02-11 04:43:10,2022-02-11 11:43:10,2022-02-11 04:54:10,2022-02-11 09:54:10,Normal,Medium,4 - Low,Closed,Access Management,L2 Support,Sneha Patil,Pune,HR,ERP Server,Firewall rule update,No Conflict,Approved,Resource unavailable,Jan-2022,Q1-2022
CHG0000030,2022-10-29 14:53:38,2022-11-18 14:53:38,2022-11-18 15:53:38,2022-11-18 14:28:38,2022-11-18 18:28:38,Emergency,Low,1 - Critical,Closed,Access Management,DB Admins,Priya Menon,Kolkata,Procurement,Load Balancer,Storage expansion,No Conflict,Rejected,Awaiting approval,Oct-2022,Q4-2022
CHG0000031,2022-12-27 16:59:02,2023-01-18 16:59:02,2023-01-18 21:59:02,2023-01-18 17:02:02,2023-01-18 19:02:02,Normal,High,3 - Medium,Implement,Email/Collaboration,L2 Support,Deepak Nair,Delhi NCR,IT,ERP Server,DB migration,Conflict Detected,Approved,Resource unavailable,Dec-2022,Q4-2022
CHG0000032,2022-10-22 06:01:43,2022-11-03 06:01:43,2022-11-03 12:01:43,,,Standard,Low,3 - Medium,Review,Email/Collaboration,L1 Support,Rohan Verma,Delhi NCR,Operations,Active Directory,DB migration,No Conflict,Rejected,Awaiting approval,Oct-2022,Q4-2022
CHG0000033,2022-11-17 14:19:40,2022-12-04 14:19:40,2022-12-04 17:19:40,,,Normal,Low,1 - Critical,Authorize,Security,Network Ops,Anjali Singh,Mumbai,Operations,SAP Production,Storage expansion,No Conflict,Approved,,Nov-2022,Q4-2022
CHG0000034,2022-12-25 06:18:04,2023-01-11 06:18:04,2023-01-11 08:18:04,2023-01-11 06:27:04,2023-01-11 08:27:04,Emergency,Low,1 - Critical,Implement,Database,DB Admins,Deepak Nair,Mumbai,Finance,VPN Gateway,Backup policy change,No Conflict,Approved,Resource unavailable,Dec-2022,Q4-2022
CHG0000035,2022-10-11 08:51:14,2022-10-25 08:51:14,2022-10-25 16:51:14,2022-10-25 08:44:14,2022-10-25 10:44:14,Normal,Medium,4 - Low,Closed,Access Management,Security Ops,Kavya Reddy,Hyderabad,Sales,Core Switch,SSL certificate renewal,No Conflict,Pending,Awaiting approval,Oct-2022,Q4-2022
CHG0000036,2022-05-02 12:28:14,2022-05-27 12:28:14,2022-05-27 13:28:14,2022-05-27 12:17:14,2022-05-27 18:17:14,Standard,High,3 - Medium,Closed,Hardware,Security Ops,Priya Menon,Chennai,IT,ERP Server,OS patch deployment,Conflict Detected,Rejected,Resource unavailable,May-2022,Q2-2022
CHG0000037,2022-03-06 23:32:27,2022-03-25 23:32:27,2022-03-26 00:32:27,,,Emergency,Medium,3 - Medium,Review,Application,Network Ops,Sneha Patil,Mumbai,Finance,Load Balancer,DB migration,No Conflict,Approved,Awaiting approval,Mar-2022,Q1-2022
CHG0000038,2022-02-16 04:12:34,2022-03-06 04:12:34,2022-03-06 05:12:34,2022-03-06 03:51:34,2022-03-06 08:51:34,Standard,High,2 - High,Closed,Access Management,DB Admins,Pooja Iyer,Chennai,Procurement,Firewall-01,DR failover test,No Conflict,Pending,,Feb-2022,Q1-2022
CHG0000039,2022-06-22 04:06:49,2022-07-12 04:06:49,2022-07-12 10:06:49,2022-07-12 03:53:49,2022-07-12 08:53:49,Normal,Low,3 - Medium,Implement,Hardware,DB Admins,Pooja Iyer,Kolkata,Operations,Email Gateway,Network upgrade,No Conflict,Pending,,Jun-2022,Q2-2022
CHG0000040,2022-07-09 22:39:00,2022-07-25 22:39:00,2022-07-26 05:39:00,2022-07-25 22:24:00,2022-07-26 05:24:00,Normal,Low,1 - Critical,Closed,Software,Infra Team,Rohan Verma,Delhi NCR,Marketing,CRM Application,Firewall rule update,No Conflict,Approved,Testing required,Jul-2022,Q3-2022
CHG0000041,2022-04-24 09:59:14,2022-05-12 09:59:14,2022-05-12 16:59:14,2022-05-12 10:17:14,2022-05-12 18:17:14,Normal,Medium,2 - High,Closed,Database,Infra Team,Priya Menon,Mumbai,Procurement,VPN Gateway,SSL certificate renewal,No Conflict,Approved,Awaiting approval,Apr-2022,Q2-2022
CHG0000042,2022-05-17 16:08:43,2022-06-06 16:08:43,2022-06-06 23:08:43,,,Normal,High,3 - Medium,Review,Hardware,App Support,Rahul Sharma,Hyderabad,IT,CRM Application,Network upgrade,No Conflict,Pending,Awaiting approval,May-2022,Q2-2022
CHG0000043,2022-07-13 06:31:08,2022-07-20 06:31:08,2022-07-20 10:31:08,2022-07-20 06:03:08,2022-07-20 07:03:08,Emergency,Medium,2 - High,Implement,Access Management,L2 Support,Pooja Iyer,Mumbai,Marketing,Email Gateway,Load balancer config,No Conflict,Approved,Awaiting approval,Jul-2022,Q3-2022
CHG0000044,2022-10-01 20:03:52,2022-10-28 20:03:52,2022-10-29 04:03:52,2022-10-28 20:08:52,2022-10-28 22:08:52,Normal,Medium,4 - Low,Implement,Software,L2 Support,Anjali Singh,Delhi NCR,Marketing,Load Balancer,Storage expansion,Conflict Detected,Pending,Vendor dependency,Oct-2022,Q4-2022
CHG0000045,2022-10-09 14:14:42,2022-10-22 14:14:42,2022-10-22 21:14:42,,,Normal,High,2 - High,Review,Security,L1 Support,Deepak Nair,Bangalore,Legal,Active Directory,Middleware upgrade,No Conflict,Pending,Resource unavailable,Oct-2022,Q4-2022
CHG0000046,2022-01-31 13:24:38,2022-02-11 13:24:38,2022-02-11 21:24:38,,,Normal,Medium,2 - High,Review,Email/Collaboration,L1 Support,Deepak Nair,Hyderabad,HR,VPN Gateway,Load balancer config,No Conflict,Rejected,Resource unavailable,Jan-2022,Q1-2022
CHG0000047,2022-08-13 12:20:25,2022-09-06 12:20:25,2022-09-06 16:20:25,,,Normal,Low,3 - Medium,Authorize,Database,DB Admins,Pooja Iyer,Delhi NCR,Procurement,Oracle DB,Firewall rule update,No Conflict,Approved,,Aug-2022,Q3-2022
CHG0000048,2022-06-10 18:47:09,2022-06-25 18:47:09,2022-06-26 00:47:09,,,Standard,Low,2 - High,Authorize,Access Management,Infra Team,Deepak Nair,Pune,IT,VPN Gateway,DR failover test,No Conflict,Approved,Resource unavailable,Jun-2022,Q2-2022
CHG0000049,2022-11-09 23:27:44,2022-11-29 23:27:44,2022-11-30 00:27:44,,,Emergency,High,3 - Medium,Authorize,Database,Network Ops,Anjali Singh,Hyderabad,Operations,SAP Production,DR failover test,No Conflict,Approved,Vendor dependency,Nov-2022,Q4-2022
CHG0000050,2022-11-29 23:27:29,2022-12-19 23:27:29,2022-12-20 01:27:29,2022-12-19 23:53:29,2022-12-20 01:53:29,Emergency,High,4 - Low,Closed,Email/Collaboration,App Support,Priya Menon,Pune,HR,Active Directory,DR failover test,No Conflict,Rejected,Testing required,Nov-2022,Q4-2022
CHG0000051,2022-10-31 02:59:34,2022-11-16 02:59:34,2022-11-16 10:59:34,,,Standard,Medium,2 - High,Review,Security,Security Ops,Amit Desai,Mumbai,Procurement,ERP Server,DR failover test,No Conflict,Approved,Awaiting approval,Oct-2022,Q4-2022
CHG0000052,2022-04-28 10:52:45,2022-05-12 10:52:45,2022-05-12 18:52:45,,,Standard,Medium,3 - Medium,Review,Hardware,L2 Support,Deepak Nair,Hyderabad,Operations,Active Directory,Backup policy change,No Conflict,Approved,Awaiting approval,Apr-2022,Q2-2022
CHG0000053,2022-01-16 01:57:35,2022-02-02 01:57:35,2022-02-02 04:57:35,,,Normal,Low,1 - Critical,Authorize,Network,L1 Support,Vikram Joshi,Bangalore,Procurement,Email Gateway,SSL certificate renewal,No Conflict,Pending,,Jan-2022,Q1-2022
CHG0000054,2022-03-26 17:55:39,2022-04-11 17:55:39,2022-04-11 22:55:39,,,Normal,High,2 - High,Review,Network,Network Ops,Deepak Nair,Chennai,HR,Firewall-01,DR failover test,No Conflict,Approved,Vendor dependency,Mar-2022,Q1-2022
CHG0000055,2022-12-17 21:02:33,2023-01-03 21:02:33,2023-01-04 04:02:33,,,Emergency,Low,3 - Medium,Review,Application,L1 Support,Sneha Patil,Mumbai,Marketing,Firewall-01,Middleware upgrade,No Conflict,Approved,Vendor dependency,Dec-2022,Q4-2022
CHG0000056,2022-05-02 21:22:35,2022-05-14 21:22:35,2022-05-15 00:22:35,2022-05-14 21:38:35,2022-05-14 22:38:35,Normal,Medium,2 - High,Closed,Network,L2 Support,Rahul Sharma,Delhi NCR,Sales,Email Gateway,Middleware upgrade,No Conflict,Approved,,May-2022,Q2-2022
CHG0000057,2022-03-25 00:16:07,2022-04-06 00:16:07,2022-04-06 02:16:07,2022-04-05 23:49:07,2022-04-06 04:49:07,Normal,Medium,4 - Low,Implement,Network,L2 Support,Priya Menon,Chennai,Legal,Email Gateway,Load balancer config,No Conflict,Pending,,Mar-2022,Q1-2022
CHG0000058,2022-05-17 03:25:56,2022-06-12 03:25:56,2022-06-12 11:25:56,2022-06-12 03:53:56,2022-06-12 05:53:56,Normal,Low,2 - High,Implement,Network,Network Ops,Sneha Patil,Pune,HR,ERP Server,DB migration,Conflict Detected,Pending,Vendor dependency,May-2022,Q2-2022
CHG0000059,2022-06-15 21:56:39,2022-06-28 21:56:39,2022-06-29 05:56:39,2022-06-28 21:53:39,2022-06-28 22:53:39,Standard,Low,1 - Critical,Implement,Network,L1 Support,Priya Menon,Mumbai,Legal,Email Gateway,Load balancer config,Conflict Detected,Approved,Awaiting approval,Jun-2022,Q2-2022
CHG0000060,2022-12-22 04:45:49,2022-12-31 04:45:49,2022-12-31 11:45:49,,,Normal,Low,4 - Low,Authorize,Access Management,L2 Support,Kavya Reddy,Pune,IT,VPN Gateway,OS patch deployment,Conflict Detected,Approved,Resource unavailable,Dec-2022,Q4-2022
CHG0000061,2022-10-08 07:12:32,2022-10-20 07:12:32,2022-10-20 12:12:32,,,Normal,Low,3 - Medium,Review,Network,Network Ops,Deepak Nair,Chennai,Operations,SAP Production,DB migration,No Conflict,Approved,Vendor dependency,Oct-2022,Q4-2022
CHG0000062,2022-10-30 12:53:47,2022-11-13 12:53:47,2022-11-13 17:53:47,,,Emergency,High,3 - Medium,Authorize,Database,Infra Team,Sneha Patil,Delhi NCR,Sales,Active Directory,Network upgrade,No Conflict,Approved,Awaiting approval,Oct-2022,Q4-2022
CHG0000063,2022-07-28 17:46:04,2022-08-23 17:46:04,2022-08-23 23:46:04,2022-08-23 17:30:04,2022-08-24 01:30:04,Emergency,High,4 - Low,Implement,Database,DB Admins,Deepak Nair,Delhi NCR,Procurement,ERP Server,Storage expansion,No Conflict,Approved,Vendor dependency,Jul-2022,Q3-2022
CHG0000064,2022-05-17 17:02:54,2022-06-04 17:02:54,2022-06-04 23:02:54,2022-06-04 16:49:54,2022-06-04 22:49:54,Standard,Medium,2 - High,Implement,Hardware,L1 Support,Sneha Patil,Delhi NCR,Finance,Email Gateway,Load balancer config,No Conflict,Approved,Vendor dependency,May-2022,Q2-2022
CHG0000065,2022-05-03 08:34:45,2022-05-20 08:34:45,2022-05-20 15:34:45,2022-05-20 08:20:45,2022-05-20 16:20:45,Standard,High,1 - Critical,Closed,Email/Collaboration,DB Admins,Vikram Joshi,Kolkata,HR,Firewall-01,Firewall rule update,No Conflict,Approved,Awaiting approval,May-2022,Q2-2022
CHG0000066,2022-04-14 09:18:46,2022-05-04 09:18:46,2022-05-04 16:18:46,2022-05-04 09:09:46,2022-05-04 12:09:46,Emergency,Medium,4 - Low,Implement,Network,Security Ops,Amit Desai,Bangalore,IT,Firewall-01,Load balancer config,No Conflict,Approved,Resource unavailable,Apr-2022,Q2-2022
CHG0000067,2022-06-17 12:31:28,2022-07-08 12:31:28,2022-07-08 16:31:28,2022-07-08 12:21:28,2022-07-08 18:21:28,Emergency,Low,1 - Critical,Closed,Email/Collaboration,DB Admins,Anjali Singh,Pune,Legal,SAP Production,Backup policy change,No Conflict,Pending,Awaiting approval,Jun-2022,Q2-2022
CHG0000068,2022-08-28 03:58:51,2022-09-05 03:58:51,2022-09-05 10:58:51,2022-09-05 03:28:51,2022-09-05 07:28:51,Normal,Medium,1 - Critical,Implement,Database,Security Ops,Anjali Singh,Mumbai,Operations,VPN Gateway,DR failover test,No Conflict,Pending,Testing required,Aug-2022,Q3-2022
CHG0000069,2022-03-26 16:58:46,2022-04-21 16:58:46,2022-04-21 21:58:46,2022-04-21 17:24:46,2022-04-21 21:24:46,Emergency,High,4 - Low,Implement,Application,Infra Team,Rohan Verma,Hyderabad,Finance,VPN Gateway,Middleware upgrade,No Conflict,Pending,Vendor dependency,Mar-2022,Q1-2022
CHG0000070,2022-04-19 04:57:09,2022-05-05 04:57:09,2022-05-05 05:57:09,,,Emergency,High,1 - Critical,Review,Database,L1 Support,Rohan Verma,Kolkata,IT,Email Gateway,DR failover test,No Conflict,Approved,Resource unavailable,Apr-2022,Q2-2022
CHG0000071,2022-02-14 05:43:21,2022-03-11 05:43:21,2022-03-11 08:43:21,2022-03-11 05:22:21,2022-03-11 13:22:21,Standard,High,4 - Low,Implement,Application,Network Ops,Sneha Patil,Hyderabad,Sales,Core Switch,Load balancer config,Conflict Detected,Approved,Testing required,Feb-2022,Q1-2022
CHG0000072,2022-12-09 14:03:36,2022-12-24 14:03:36,2022-12-24 21:03:36,,,Emergency,High,2 - High,Review,Email/Collaboration,DB Admins,Sneha Patil,Pune,Operations,Firewall-01,OS patch deployment,No Conflict,Approved,,Dec-2022,Q4-2022
CHG0000073,2022-11-10 18:40:29,2022-11-30 18:40:29,2022-11-30 21:40:29,2022-11-30 18:19:29,2022-12-01 01:19:29,Standard,High,1 - Critical,Implement,Access Management,L2 Support,Pooja Iyer,Kolkata,Procurement,Oracle DB,DB migration,No Conflict,Pending,,Nov-2022,Q4-2022
CHG0000074,2022-08-27 17:16:46,2022-09-10 17:16:46,2022-09-10 22:16:46,2022-09-10 17:13:46,2022-09-10 23:13:46,Emergency,Medium,1 - Critical,Implement,Access Management,App Support,Amit Desai,Kolkata,Sales,Core Switch,Network upgrade,No Conflict,Approved,,Aug-2022,Q3-2022
CHG0000075,2022-08-31 01:39:47,2022-09-20 01:39:47,2022-09-20 02:39:47,,,Emergency,Medium,2 - High,Review,Application,DB Admins,Priya Menon,Mumbai,Marketing,Email Gateway,Backup policy change,No Conflict,Rejected,Vendor dependency,Aug-2022,Q3-2022
CHG0000076,2022-02-13 10:35:29,2022-03-12 10:35:29,2022-03-12 12:35:29,2022-03-12 10:23:29,2022-03-12 17:23:29,Standard,High,3 - Medium,Closed,Email/Collaboration,DB Admins,Amit Desai,Delhi NCR,Procurement,Firewall-01,Middleware upgrade,No Conflict,Approved,Vendor dependency,Feb-2022,Q1-2022
CHG0000077,2022-09-05 22:28:23,2022-09-22 22:28:23,2022-09-23 05:28:23,,,Normal,Low,3 - Medium,Review,Security,Network Ops,Rahul Sharma,Chennai,Finance,CRM Application,SSL certificate renewal,No Conflict,Approved,Resource unavailable,Sep-2022,Q3-2022
CHG0000078,2022-04-14 08:44:17,2022-05-04 08:44:17,2022-05-04 16:44:17,2022-05-04 08:29:17,2022-05-04 12:29:17,Standard,High,1 - Critical,Closed,Application,L1 Support,Priya Menon,Bangalore,IT,Core Switch,Middleware upgrade,Conflict Detected,Approved,Resource unavailable,Apr-2022,Q2-2022
CHG0000079,2022-11-27 11:18:44,2022-12-19 11:18:44,2022-12-19 12:18:44,,,Emergency,Medium,3 - Medium,Authorize,Access Management,L2 Support,Pooja Iyer,Chennai,HR,Load Balancer,Load balancer config,No Conflict,Approved,,Nov-2022,Q4-2022
CHG0000080,2022-01-31 00:08:43,2022-02-15 00:08:43,2022-02-15 05:08:43,2022-02-14 23:51:43,2022-02-15 04:51:43,Standard,Medium,3 - Medium,Implement,Database,Infra Team,Sneha Patil,Bangalore,Legal,VPN Gateway,Middleware upgrade,Conflict Detected,Approved,Testing required,Jan-2022,Q1-2022
CHG0000081,2022-05-26 23:51:25,2022-06-06 23:51:25,2022-06-07 01:51:25,,,Normal,Medium,3 - Medium,Authorize,Access Management,L1 Support,Vikram Joshi,Mumbai,Legal,Firewall-01,Storage expansion,No Conflict,Approved,,May-2022,Q2-2022
CHG0000082,2022-10-05 23:12:11,2022-10-30 23:12:11,2022-10-31 01:12:11,2022-10-30 22:49:11,2022-10-30 23:49:11,Normal,Medium,2 - High,Closed,Software,L2 Support,Vikram Joshi,Chennai,Marketing,CRM Application,DB migration,No Conflict,Approved,Resource unavailable,Oct-2022,Q4-2022
CHG0000083,2022-07-06 17:05:33,2022-07-14 17:05:33,2022-07-14 19:05:33,,,Standard,Low,1 - Critical,Cancelled,Email/Collaboration,Security Ops,Sneha Patil,Mumbai,IT,SAP Production,OS patch deployment,No Conflict,Approved,,Jul-2022,Q3-2022
CHG0000084,2022-07-02 19:37:46,2022-07-14 19:37:46,2022-07-15 02:37:46,2022-07-14 19:40:46,2022-07-15 01:40:46,Standard,High,2 - High,Implement,Email/Collaboration,L1 Support,Deepak Nair,Kolkata,HR,Core Switch,Network upgrade,No Conflict,Approved,Resource unavailable,Jul-2022,Q3-2022
CHG0000085,2022-12-07 10:05:19,2022-12-18 10:05:19,2022-12-18 12:05:19,,,Standard,Medium,1 - Critical,Review,Network,DB Admins,Priya Menon,Delhi NCR,Sales,SAP Production,Storage expansion,No Conflict,Approved,Resource unavailable,Dec-2022,Q4-2022
CHG0000086,2022-04-26 05:17:29,2022-05-11 05:17:29,2022-05-11 10:17:29,2022-05-11 05:45:29,2022-05-11 09:45:29,Normal,Low,2 - High,Closed,Security,Network Ops,Rahul Sharma,Mumbai,Marketing,Oracle DB,Load balancer config,No Conflict,Approved,,Apr-2022,Q2-2022
CHG0000087,2022-12-29 11:33:58,2023-01-07 11:33:58,2023-01-07 18:33:58,2023-01-07 11:46:58,2023-01-07 13:46:58,Normal,Medium,2 - High,Implement,Security,Infra Team,Deepak Nair,Chennai,IT,Active Directory,Backup policy change,Conflict Detected,Approved,,Dec-2022,Q4-2022
CHG0000088,2022-04-11 01:50:51,2022-04-30 01:50:51,2022-04-30 09:50:51,2022-04-30 02:14:51,2022-04-30 05:14:51,Standard,Medium,3 - Medium,Implement,Hardware,Security Ops,Sneha Patil,Mumbai,Procurement,ERP Server,Middleware upgrade,No Conflict,Approved,Resource unavailable,Apr-2022,Q2-2022
CHG0000089,2022-03-05 20:30:58,2022-03-17 20:30:58,2022-03-18 04:30:58,,,Standard,Medium,3 - Medium,Authorize,Software,Infra Team,Deepak Nair,Delhi NCR,Marketing,Firewall-01,Network upgrade,No Conflict,Pending,Testing required,Mar-2022,Q1-2022
CHG0000090,2022-12-24 23:04:33,2023-01-06 23:04:33,2023-01-07 04:04:33,,,Normal,High,4 - Low,Authorize,Database,Infra Team,Deepak Nair,Pune,Marketing,Email Gateway,DB migration,No Conflict,Approved,Resource unavailable,Dec-2022,Q4-2022
CHG0000091,2022-06-01 22:10:06,2022-06-16 22:10:06,2022-06-16 23:10:06,2022-06-16 22:26:06,2022-06-17 00:26:06,Standard,High,3 - Medium,Implement,Database,Infra Team,Vikram Joshi,Delhi NCR,Operations,ERP Server,Middleware upgrade,No Conflict,Pending,,Jun-2022,Q2-2022
