Problem Number,Opened At,Resolved At,Category,Priority,Impact,State,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Known Error,Workaround,Related Incidents,Root Cause,Resolution Days,Month Year,Quarter
PRB0000044,16-02-2022 12:21,04-05-2022 12:21,Database,2 - High,2 - Department,Resolved,L2 Support,Deepak Nair,Delhi NCR,Finance,Oracle DB,System not responding,Yes,Yes,4,Human error,77,Feb-22,Q1-2022
PRB0000045,05-01-2022 15:23,,Email/Collaboration,4 - Low,2 - Department,In Progress,DB Admins,Pooja Iyer,Kolkata,Legal,Core Switch,Slow performance,Yes,Yes,16,Human error,,Jan-22,Q1-2022
PRB0000046,06-03-2022 19:47,,Database,1 - Critical,3 - Multiple Users,Open,L1 Support,Deepak Nair,Mumbai,Operations,Active Directory,Application error,Yes,Yes,14,Configuration error,,Mar-22,Q1-2022
PRB0000047,05-06-2022 00:56,,Application,3 - Medium,3 - Multiple Users,In Progress,Security Ops,Deepak Nair,Mumbai,HR,VPN Gateway,Service unavailable,No,No,18,Capacity issue,,Jun-22,Q2-2022
PRB0000048,30-12-2022 02:27,,Application,2 - High,2 - Department,Open,App Support,Amit Desai,Chennai,Sales,Oracle DB,Network outage,Yes,No,17,Configuration error,,Dec-22,Q4-2022
PRB0000049,22-02-2022 22:56,,Database,3 - Medium,2 - Department,Open,Infra Team,Anjali Singh,Pune,Marketing,Core Switch,System not responding,No,Yes,18,Software defect,,Feb-22,Q1-2022
PRB0000050,16-11-2022 02:04,18-11-2022 02:04,Access Management,2 - High,2 - Department,Closed,L1 Support,Amit Desai,Kolkata,Sales,CRM Application,Email not working,No,No,10,Human error,2,Nov-22,Q4-2022
PRB0000051,05-03-2022 05:36,19-04-2022 05:36,Database,4 - Low,3 - Multiple Users,Resolved,DB Admins,Rohan Verma,Mumbai,Procurement,Oracle DB,Network outage,Yes,Yes,12,Capacity issue,45,Mar-22,Q1-2022
PRB0000052,25-12-2022 11:17,03-01-2023 11:17,Network,3 - Medium,1 - Enterprise,Resolved,L2 Support,Pooja Iyer,Kolkata,Sales,SAP Production,Database timeout,No,No,13,Configuration error,9,Dec-22,Q4-2022
PRB0000053,02-12-2022 07:40,07-12-2022 07:40,Email/Collaboration,3 - Medium,1 - Enterprise,Resolved,Network Ops,Priya Menon,Chennai,Operations,Email Gateway,VPN disconnecting,Yes,Yes,10,Vendor issue,5,Dec-22,Q4-2022
PRB0000054,22-06-2022 10:28,25-06-2022 10:28,Software,4 - Low,3 - Multiple Users,Closed,L2 Support,Sneha Patil,Delhi NCR,Finance,Oracle DB,Application error,Yes,No,5,Configuration error,3,Jun-22,Q2-2022
PRB0000055,02-10-2022 17:09,05-11-2022 17:09,Email/Collaboration,2 - High,2 - Department,Closed,L1 Support,Pooja Iyer,Hyderabad,Legal,VPN Gateway,Cannot login,No,No,12,Human error,34,Oct-22,Q4-2022
PRB0000056,27-06-2022 04:21,,Hardware,2 - High,3 - Multiple Users,In Progress,DB Admins,Rahul Sharma,Bangalore,IT,Oracle DB,Network outage,No,Yes,2,Vendor issue,,Jun-22,Q2-2022
PRB0000057,02-08-2022 02:59,,Access Management,2 - High,2 - Department,In Progress,App Support,Rohan Verma,Bangalore,Legal,Active Directory,Email not working,Yes,Yes,16,Vendor issue,,Aug-22,Q3-2022
PRB0000058,15-02-2022 08:00,20-03-2022 08:00,Database,1 - Critical,3 - Multiple Users,Resolved,DB Admins,Deepak Nair,Pune,Finance,SAP Production,Email not working,Yes,Yes,12,Human error,33,Feb-22,Q1-2022
PRB0000059,24-07-2022 23:10,04-08-2022 23:10,Access Management,4 - Low,1 - Enterprise,Resolved,Infra Team,Priya Menon,Chennai,Legal,CRM Application,Printer offline,Yes,Yes,13,Network fault,11,Jul-22,Q3-2022
PRB0000060,28-02-2022 20:11,11-05-2022 20:11,Security,4 - Low,3 - Multiple Users,Closed,Network Ops,Priya Menon,Mumbai,Operations,VPN Gateway,System not responding,No,Yes,25,Network fault,72,Feb-22,Q1-2022
PRB0000061,20-12-2022 11:23,30-12-2022 11:23,Security,3 - Medium,4 - Individual,Closed,Network Ops,Vikram Joshi,Hyderabad,Finance,Core Switch,VPN disconnecting,Yes,No,24,Configuration error,10,Dec-22,Q4-2022
PRB0000062,01-01-2022 18:25,19-01-2022 18:25,Software,4 - Low,1 - Enterprise,Resolved,L2 Support,Rohan Verma,Chennai,Finance,Email Gateway,Database timeout,Yes,Yes,21,Human error,18,Jan-22,Q1-2022
PRB0000063,16-01-2022 06:39,,Access Management,2 - High,1 - Enterprise,In Progress,L1 Support,Vikram Joshi,Bangalore,Marketing,Email Gateway,Cannot login,No,No,16,Network fault,,Jan-22,Q1-2022
PRB0000064,30-11-2022 17:22,04-12-2022 17:22,Database,2 - High,3 - Multiple Users,Resolved,DB Admins,Rahul Sharma,Hyderabad,Operations,Oracle DB,System not responding,No,No,21,Network fault,4,Nov-22,Q4-2022
PRB0000065,16-02-2022 00:26,23-04-2022 00:26,Application,3 - Medium,3 - Multiple Users,Closed,L1 Support,Kavya Reddy,Delhi NCR,IT,ERP Server,Service unavailable,No,No,13,Software defect,66,Feb-22,Q1-2022
PRB0000066,12-01-2022 09:31,,Hardware,4 - Low,4 - Individual,In Progress,Network Ops,Amit Desai,Pune,Procurement,ERP Server,Slow performance,Yes,No,3,Vendor issue,,Jan-22,Q1-2022
PRB0000067,29-06-2022 08:31,16-09-2022 08:31,Security,2 - High,4 - Individual,Closed,Infra Team,Anjali Singh,Delhi NCR,Legal,Firewall-01,Email not working,Yes,No,8,Vendor issue,79,Jun-22,Q2-2022
PRB0000068,18-09-2022 05:39,22-10-2022 05:39,Email/Collaboration,2 - High,1 - Enterprise,Resolved,L2 Support,Anjali Singh,Chennai,Sales,Load Balancer,Network outage,No,No,2,Software defect,34,Sep-22,Q3-2022
PRB0000069,23-11-2022 06:23,,Email/Collaboration,2 - High,2 - Department,In Progress,L1 Support,Rahul Sharma,Chennai,Procurement,ERP Server,System not responding,No,Yes,10,Hardware failure,,Nov-22,Q4-2022
PRB0000070,16-08-2022 02:00,07-11-2022 02:00,Email/Collaboration,4 - Low,1 - Enterprise,Resolved,Security Ops,Amit Desai,Chennai,Marketing,SAP Production,Network outage,No,No,1,Network fault,83,Aug-22,Q3-2022
PRB0000071,23-06-2022 04:55,,Access Management,3 - Medium,3 - Multiple Users,In Progress,Security Ops,Amit Desai,Delhi NCR,Operations,VPN Gateway,Cannot login,Yes,Yes,24,Capacity issue,,Jun-22,Q2-2022
PRB0000072,08-09-2022 20:57,20-11-2022 20:57,Application,1 - Critical,4 - Individual,Resolved,Security Ops,Rohan Verma,Pune,Sales,ERP Server,Email not working,No,No,11,Hardware failure,73,Sep-22,Q3-2022
PRB0000073,07-04-2022 10:00,,Network,4 - Low,3 - Multiple Users,In Progress,Infra Team,Deepak Nair,Pune,Operations,Load Balancer,System not responding,No,No,14,Capacity issue,,Apr-22,Q2-2022
PRB0000074,13-10-2022 01:43,,Hardware,3 - Medium,1 - Enterprise,Open,DB Admins,Pooja Iyer,Hyderabad,Operations,Load Balancer,Application error,Yes,No,18,Software defect,,Oct-22,Q4-2022
PRB0000075,20-02-2022 14:48,10-05-2022 14:48,Security,1 - Critical,1 - Enterprise,Resolved,L1 Support,Sneha Patil,Kolkata,Procurement,CRM Application,System not responding,No,Yes,16,Software defect,79,Feb-22,Q1-2022
PRB0000076,20-02-2022 04:17,,Security,2 - High,4 - Individual,In Progress,Network Ops,Priya Menon,Hyderabad,HR,VPN Gateway,Network outage,No,Yes,6,Hardware failure,,Feb-22,Q1-2022
PRB0000077,22-12-2022 12:23,26-12-2022 12:23,Access Management,2 - High,3 - Multiple Users,Resolved,Infra Team,Sneha Patil,Kolkata,Procurement,SAP Production,Application error,Yes,Yes,10,Network fault,4,Dec-22,Q4-2022
PRB0000078,22-03-2022 13:48,10-06-2022 13:48,Email/Collaboration,1 - Critical,1 - Enterprise,Resolved,Network Ops,Sneha Patil,Hyderabad,Marketing,SAP Production,System not responding,No,Yes,25,Network fault,80,Mar-22,Q1-2022
PRB0000079,13-04-2022 20:47,26-06-2022 20:47,Email/Collaboration,1 - Critical,1 - Enterprise,Resolved,Infra Team,Vikram Joshi,Delhi NCR,IT,ERP Server,Printer offline,Yes,No,11,Hardware failure,74,Apr-22,Q2-2022
PRB0000080,05-10-2022 07:49,,Database,2 - High,1 - Enterprise,Open,Security Ops,Rahul Sharma,Bangalore,Procurement,VPN Gateway,Email not working,No,Yes,10,Configuration error,,Oct-22,Q4-2022
PRB0000081,22-12-2022 17:00,24-12-2022 17:00,Application,3 - Medium,3 - Multiple Users,Resolved,Security Ops,Rahul Sharma,Mumbai,IT,Email Gateway,Email not working,Yes,No,19,Configuration error,2,Dec-22,Q4-2022
PRB0000082,15-10-2022 17:09,,Email/Collaboration,1 - Critical,3 - Multiple Users,In Progress,L2 Support,Sneha Patil,Bangalore,Operations,Firewall-01,Email not working,No,Yes,21,Vendor issue,,Oct-22,Q4-2022
PRB0000083,20-09-2022 23:39,12-12-2022 23:39,Security,3 - Medium,4 - Individual,Resolved,L2 Support,Rohan Verma,Mumbai,IT,Load Balancer,Database timeout,Yes,Yes,14,Vendor issue,83,Sep-22,Q3-2022
PRB0000084,26-05-2022 13:27,,Hardware,1 - Critical,1 - Enterprise,In Progress,DB Admins,Vikram Joshi,Pune,Marketing,Core Switch,Service unavailable,No,Yes,21,Network fault,,May-22,Q2-2022
PRB0000085,06-12-2022 23:21,,Network,2 - High,2 - Department,In Progress,Network Ops,Anjali Singh,Pune,Legal,VPN Gateway,Printer offline,Yes,Yes,13,Capacity issue,,Dec-22,Q4-2022
PRB0000086,06-08-2022 14:21,25-08-2022 14:21,Security,4 - Low,2 - Department,Resolved,App Support,Pooja Iyer,Kolkata,Marketing,Core Switch,Network outage,Yes,No,4,Network fault,19,Aug-22,Q3-2022
PRB0000087,31-07-2022 19:27,,Application,1 - Critical,4 - Individual,In Progress,Infra Team,Rahul Sharma,Chennai,Sales,CRM Application,VPN disconnecting,No,No,20,Capacity issue,,Jul-22,Q3-2022
PRB0000088,14-06-2022 16:09,18-06-2022 16:09,Hardware,2 - High,3 - Multiple Users,Resolved,DB Admins,Priya Menon,Delhi NCR,Marketing,Oracle DB,Database timeout,Yes,Yes,25,Configuration error,4,Jun-22,Q2-2022
PRB0000089,18-01-2022 20:02,,Database,1 - Critical,1 - Enterprise,In Progress,L1 Support,Rahul Sharma,Kolkata,IT,SAP Production,Slow performance,Yes,No,24,Vendor issue,,Jan-22,Q1-2022
PRB0000090,02-11-2022 12:32,02-12-2022 12:32,Security,3 - Medium,3 - Multiple Users,Resolved,Security Ops,Priya Menon,Mumbai,HR,Load Balancer,Network outage,Yes,Yes,17,Hardware failure,30,Nov-22,Q4-2022
PRB0000091,11-05-2022 04:05,26-07-2022 04:05,Database,1 - Critical,2 - Department,Closed,L2 Support,Vikram Joshi,Chennai,Marketing,Load Balancer,Application error,No,Yes,13,Capacity issue,76,May-22,Q2-2022
PRB0000092,06-05-2022 14:21,16-05-2022 14:21,Software,4 - Low,1 - Enterprise,Resolved,Security Ops,Anjali Singh,Chennai,Sales,ERP Server,Email not working,Yes,No,24,Software defect,10,May-22,Q2-2022
PRB0000093,20-07-2022 10:32,22-08-2022 10:32,Email/Collaboration,4 - Low,3 - Multiple Users,Closed,App Support,Rohan Verma,Hyderabad,Operations,Oracle DB,Application error,No,No,19,Capacity issue,33,Jul-22,Q3-2022
PRB0000094,03-07-2022 17:32,11-09-2022 17:32,Email/Collaboration,2 - High,3 - Multiple Users,Resolved,Network Ops,Deepak Nair,Bangalore,Sales,VPN Gateway,Application error,No,Yes,17,Human error,70,Jul-22,Q3-2022
PRB0000095,16-02-2022 21:54,,Software,1 - Critical,1 - Enterprise,Open,L1 Support,Rahul Sharma,Pune,Procurement,Load Balancer,Cannot login,Yes,Yes,13,Vendor issue,,Feb-22,Q1-2022
PRB0000096,20-11-2022 00:19,29-11-2022 00:19,Email/Collaboration,3 - Medium,4 - Individual,Resolved,L2 Support,Sneha Patil,Chennai,Finance,Firewall-01,Database timeout,Yes,No,4,Network fault,9,Nov-22,Q4-2022
PRB0000097,04-10-2022 01:07,24-12-2022 01:07,Software,4 - Low,3 - Multiple Users,Resolved,App Support,Anjali Singh,Delhi NCR,Procurement,Firewall-01,Application error,Yes,Yes,13,Configuration error,81,Oct-22,Q4-2022
PRB0000098,13-09-2022 23:03,06-11-2022 23:03,Software,2 - High,4 - Individual,Closed,L1 Support,Anjali Singh,Chennai,Legal,Load Balancer,Database timeout,No,Yes,15,Configuration error,54,Sep-22,Q3-2022
PRB0000099,17-03-2022 10:14,30-04-2022 10:14,Software,3 - Medium,2 - Department,Closed,Security Ops,Priya Menon,Bangalore,IT,VPN Gateway,Service unavailable,No,No,16,Human error,44,Mar-22,Q1-2022
PRB0000100,19-07-2022 23:18,04-09-2022 23:18,Email/Collaboration,3 - Medium,2 - Department,Closed,App Support,Amit Desai,Pune,Operations,Active Directory,Database timeout,No,Yes,10,Network fault,47,Jul-22,Q3-2022
PRB0000101,22-06-2023 20:59,28-06-2023 20:59,Software,1 - Critical,4 - Individual,Resolved,DB Admins,Pooja Iyer,Bangalore,IT,Email Gateway,Service unavailable,Yes,No,8,Software defect,6,Jun-23,Q2-2023
PRB0000102,25-09-2023 14:24,14-12-2023 14:24,Database,3 - Medium,2 - Department,Closed,Security Ops,Sneha Patil,Kolkata,Marketing,ERP Server,Database timeout,No,No,19,Vendor issue,80,Sep-23,Q3-2023
PRB0000103,13-10-2023 07:37,,Security,4 - Low,2 - Department,In Progress,App Support,Amit Desai,Hyderabad,Finance,VPN Gateway,Slow performance,Yes,Yes,13,Configuration error,,Oct-23,Q4-2023
PRB0000104,27-10-2023 17:43,,Network,2 - High,2 - Department,In Progress,Security Ops,Amit Desai,Bangalore,Marketing,Active Directory,Service unavailable,No,No,11,Vendor issue,,Oct-23,Q4-2023
PRB0000105,14-03-2023 23:04,,Security,2 - High,4 - Individual,In Progress,App Support,Amit Desai,Chennai,Finance,SAP Production,Database timeout,No,No,18,Capacity issue,,Mar-23,Q1-2023
PRB0000106,19-05-2023 08:39,,Database,3 - Medium,3 - Multiple Users,Open,Network Ops,Vikram Joshi,Bangalore,Operations,CRM Application,Slow performance,No,No,16,Network fault,,May-23,Q2-2023
PRB0000107,08-07-2023 15:34,13-09-2023 15:34,Security,3 - Medium,3 - Multiple Users,Closed,App Support,Deepak Nair,Chennai,Marketing,CRM Application,VPN disconnecting,No,Yes,14,Capacity issue,67,Jul-23,Q3-2023
PRB0000108,14-12-2023 22:16,22-12-2023 22:16,Access Management,4 - Low,2 - Department,Resolved,L2 Support,Rahul Sharma,Pune,Procurement,ERP Server,Printer offline,Yes,No,18,Configuration error,8,Dec-23,Q4-2023
PRB0000109,07-06-2023 19:15,16-06-2023 19:15,Access Management,1 - Critical,1 - Enterprise,Resolved,Infra Team,Rahul Sharma,Kolkata,IT,Load Balancer,VPN disconnecting,Yes,No,9,Hardware failure,9,Jun-23,Q2-2023
PRB0000110,20-03-2023 23:58,16-05-2023 23:58,Application,4 - Low,4 - Individual,Resolved,Infra Team,Vikram Joshi,Chennai,Marketing,Oracle DB,Slow performance,Yes,Yes,10,Network fault,57,Mar-23,Q1-2023
PRB0000111,15-04-2023 17:59,08-07-2023 17:59,Access Management,2 - High,4 - Individual,Resolved,L1 Support,Rohan Verma,Delhi NCR,Procurement,CRM Application,Database timeout,No,Yes,5,Capacity issue,84,Apr-23,Q2-2023
PRB0000112,19-03-2023 13:21,12-05-2023 13:21,Network,3 - Medium,3 - Multiple Users,Closed,L2 Support,Amit Desai,Hyderabad,Finance,Oracle DB,Cannot login,No,No,22,Vendor issue,54,Mar-23,Q1-2023
PRB0000113,25-01-2023 00:58,,Application,4 - Low,4 - Individual,Open,Network Ops,Rahul Sharma,Pune,Finance,SAP Production,Email not working,Yes,No,22,Vendor issue,,Jan-23,Q1-2023
PRB0000114,27-10-2023 15:09,29-10-2023 15:09,Security,3 - Medium,2 - Department,Resolved,L1 Support,Kavya Reddy,Hyderabad,Legal,Firewall-01,System not responding,Yes,No,13,Software defect,2,Oct-23,Q4-2023
PRB0000115,30-07-2023 15:01,30-09-2023 15:01,Email/Collaboration,2 - High,3 - Multiple Users,Closed,L1 Support,Rohan Verma,Pune,Legal,Core Switch,Email not working,Yes,No,19,Configuration error,62,Jul-23,Q3-2023
PRB0000116,08-04-2023 10:46,,Email/Collaboration,4 - Low,4 - Individual,In Progress,L1 Support,Kavya Reddy,Delhi NCR,HR,Firewall-01,Network outage,Yes,No,14,Human error,,Apr-23,Q2-2023
PRB0000117,03-12-2023 21:43,29-12-2023 21:43,Hardware,2 - High,3 - Multiple Users,Resolved,Network Ops,Priya Menon,Kolkata,Operations,Core Switch,Email not working,No,No,17,Configuration error,26,Dec-23,Q4-2023
PRB0000118,30-09-2023 14:39,26-11-2023 14:39,Software,4 - Low,2 - Department,Closed,DB Admins,Amit Desai,Chennai,Operations,Active Directory,Database timeout,No,No,16,Network fault,57,Sep-23,Q3-2023
PRB0000119,13-03-2023 01:05,02-06-2023 01:05,Database,4 - Low,4 - Individual,Resolved,DB Admins,Pooja Iyer,Kolkata,HR,Active Directory,Service unavailable,Yes,No,5,Network fault,81,Mar-23,Q1-2023
PRB0000120,08-11-2023 00:34,18-11-2023 00:34,Security,4 - Low,2 - Department,Resolved,App Support,Vikram Joshi,Bangalore,IT,VPN Gateway,Application error,Yes,No,10,Capacity issue,10,Nov-23,Q4-2023
PRB0000121,05-10-2023 23:25,27-12-2023 23:25,Network,3 - Medium,4 - Individual,Closed,Network Ops,Amit Desai,Kolkata,Finance,CRM Application,Network outage,Yes,Yes,1,Hardware failure,83,Oct-23,Q4-2023
